ಎಲಿಜಬೆತ್	Elizabeth
ಆಗಿದ್ದ	aagidda
ಗಾರ್ಫೀಲ್ಡ	garfield
ಬಹು	bahu
ಬೇಗ	bega
ಖ್ಯಾತಿ	khyaati
ಗಳಿಸಿದ.	galisida.
</s>	</s>
ಶಾಫ್ಟ್	shaft
ಗಣಿಗಾರಿಕೆಯನ್ನು	ganigaarikeyannu
ಕೆಲವು	kelavu
ಸ್ಥಳಗಳಲ್ಲಿ	sthalagalalli
ಕೈಗೊಳ್ಳಲಾಯಿತು.	kaigollalaayitu.
</s>	</s>
ಹೆಚ್ಚು	hechchu
ಎದೆಹಾಲಿರಬೇಕು.	edehaalirabeku.
</s>	</s>
ವೆಂಕಟಗಿರಿಯಪ್ಪನವರು	Venkatagiriyappanavaru
ಸಂಗೀತ	sangeetha
ಕಲಾ	kalaa
ಲೋಕಕ್ಕೆ	lokakke
ಅಮೂಲ್ಯವಾದ	amulyavaada
ಶಿಷ್ಯ	shishya
ಪರಂಪರೆಯನ್ನು	parampareyannu
ಬೆಳೆಸಿ	belesi
ವೀಣಾ	veena
ಪ್ರಪಂಚದಲ್ಲಿ	prapanchadalli
ಚಿರಂತನ	chiranthana
ಧ್ರುವ	dhruva
ನಕ್ಷತ್ರವಾಗಿ	nakshatravaagi
ಪ್ರಕಾಶಿಸುತ್ತಿದ್ದಾರೆ.	prakaashisuttiddare.
</s>	</s>
ಎಕೆಂದರೆ	ekendare
ಸ್ಟೇಡ್	Stade
ತಂಡವು	tandavu
ಗೆಲವಿನ	geluvina
ಹಾದಿಯಲ್ಲಿದ್ದಾಗ	haadiyalliddaga
ಚಿಂಗ್	ching
ಪೋರ್ಡ್	ford
ತಂಡವು	tandavu
ಆಡುವುದಕ್ಕೆ	aaduvudakke
ನಿರಾಕರಿಸಿತು.	niraakarisitu.
</s>	</s>
ನಿಮ್ನ	nimna
ಮಸೂರವು	masuravu
ಮಧ್ಯಭಾಗದಲ್ಲಿ	madhyabhaagadalli
ತೆಳುವಾಗಿದ್ದು	teluvaagiddu
ತುದಿಗಳಲ್ಲಿ	tudigalalli
ದಪ್ಪನಾಗಿರುತ್ತದೆ.	dappanaagiruttade.
</s>	</s>
ವಿಧಿವಿರುದ್ಧ	vidhiviruddha
ಸಾಧನಗಳ	saadhanagala
ಮೂಲಕ	mulaka
ಒಂದು	ondu
ಒಳ್ಳೆಯ	olleya
ಕೃತ್ಯವನ್ನು	krutyavannu
ಮಾಡಲು	maadalu
ಅಥವಾ	athava
ಮಾಡಿಸಲು	maadisalu
ಒಪ್ಪಂದ	oppanda
ಮಾಡಿಕೊಳ್ಳುವುದೂ	maadikolluvudu
ಕೂಡ	kuda
ಅಪರಾಧಿಕ	aparaadhika
ಆಗುತ್ತದೆ.	aaguttade.
</s>	</s>
ಕಾವ್ಯ	kaavya
</s>	</s>
ಈ	ee
ಎರಡೂ	eradu
ವಿಷಯಗಳಲ್ಲಿ	vishayagalalli
ಧನಾತ್ಮಕ	dhanaatmaka
ಉಪಯೋಗಗಳೆಂದರೆ,	upayogagalendare,
ಈ	ee
ಶಬ್ದದ	shabdada
ಉಪಯೋಗವು	upayogavu
ಒಟ್ಟಾಗಿ	ottaagi
ಅವರ	avara
ವಯಸ್ಸಿಗಿಂತಲೂ	vayassiginthalu
ಹೆಚ್ಚಾಗಿ	hechchaagi
ಸ್ತ್ರೀಲಿಂಗವನ್ನು	streelingavannu
ತೋರಿಸುತ್ತದೆ.	torisuttade.
</s>	</s>
ಅರಿಸ್ಟಾಟಲ್‌ನ	Aristatalna
ತತ್ತ್ವಶಾಸ್ತ್ರದ	tatvashaastrada
ಎಲ್ಲಾ	ella
ಮಗ್ಗುಲುಗಳೂ,	maggulugalu,
ವಿದ್ವತ್ಪೂರ್ಣವಾದ	vidvathpurnavaada
ಅಥವಾ	athava
ಪ್ಲೇಟೋವಿನ	pletovina
ತಾತ್ವಿಕ	taatvika
ಪಂಥಕ್ಕೆ	panthakke
ಸಂಬಂಧಿಸಿದ	sambandhisida
ಇಂದಿನ	indina
ಕ್ರಿಯಾಶೀಲ	kriyasheela
ಅಧ್ಯಯನದ	adhyayanada
ಕೇಂದ್ರವಸ್ತುವಾಗಿಯೇ	kendravastuvaagiye
ಮುಂದುವರಿದುಕೊಂಡು	munduvaredukondu
ಬಂದಿವೆ.	bandide.
</s>	</s>
ಬೆಂಗಳೂರು	Bengaluru
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antaaraashtriya
ವಿಮಾನ	vimaana
ನಿಲ್ದಾಣವನ್ನು	nildaanavannu
ಬೆಂಗಳೂರಿನ	bengalurina
ಹೊರವಲಯದಲ್ಲಿ	horavalayadalli
ಸುಮಾರು	sumaaru
40	40
ಕಿ.	ki.
</s>	</s>
ಇಂದು	indu
ಭಾರತದ	bhaarathada
ಹಳ್ಳಿಹಳ್ಳಿಗಳಲ್ಲೂ	hallihalligalallu
ಸುಲಭ್	sulabh
ಶೌಚಾಲಯಗಳು	shouchaalayagalu
ಸಾರ್ವಜನಿಕವಾಗಿ	saarvajanikavaagi
ಮತ್ತು	mattu
ಗೃಹಗಳಲ್ಲಿ	gruhagalalli
ಅಳವಡಿತಗೊಂಡಿವೆ.	alavadithagondive.
</s>	</s>
ನ್ಯು	New
ಯಿಯರ್ಸ್	Years
ರೆವೊಲುಶನ್	revolution
ನಲ್ಲಿ,	nalli,
ಟ್ರಿಪೆಲ್	triple
ಎಚ್	H
ತನ್ನ	tanna
ಚೋಕ್	chok
ಸ್ಲಾಮ್	slam
ಯಾಗಿರುವ	yaagiruva
ಸುತ್ತಿಗೆಯಿಂದ	sutthigeyinda
ವಿಟ್	Vit
ತಲೆಗೆ	talege
ಹೊಡೆದ	hodedu
ಸೋಲಿಸಿದನು.	solisidanu.
</s>	</s>
ಇಟಲಿಯ	Italiya
ನ್ಯೂಮನ್,	Newman,
ರಷ್ಯದ	Rashyada
ಸಮೈನಾವ್	Samainav
ಮತ್ತು	mattu
ಭಾರತದಲ್ಲಿ	Bharathadalli
ಹಂಟರ್	Hantar
ಪ್ರಖ್ಯಾತ	prakhyaatha
ಗೆಜೆಟಿಯರ್	gezetier
ಲೇಖಕರಾಗಿದ್ದರು.	lekhakaraagiddaru.
</s>	</s>
ತಕ್ಷಣ-ಪ್ರತಿಕ್ರಿಯಿಸುವ	takshana-pratikrayisuva
ರಾಸಾಯನಿಕ	raasaayanika
ತಂಪು	tampu
ಪ್ಯಾಕ್‌ಗಳು	packgalu
</s>	</s>
ಇದುವರೆಗೆ	iduvarege
ಕೆಲ	kela
ಸಂಘಸಂಸ್ಥೆಗಳು	samghasamsthegalu
ಆಚರಿಸಿಕೊಂಡು	acharisikondu
ಬರುತ್ತಿದ್ದ	baruttidda
ಟಿಪ್ಪು	Tippu
ಜಯಂತಿಯನ್ನು	jayanthiyannu
ಈ	ee
ಸಲದಿಂದ	saladinda
ಸರ್ಕಾರವೇ	sarkaarave
ಆಚರಿಸಲು	aacharisalu
ತೀರ್ಮಾನಿಸಿತು.	teermaanisitu.
</s>	</s>
೧೯ನೇ	19ne
ಶತಮಾನದಲ್ಲಿ	shatamaanadalli
ಕ್ರಿಕೆಟ್	kriket
ಆಟದ	aatada
ನಿಯಮಗಳು	niyamagalu
ಸೂತ್ರೀಕರಿಸಲ್ಪಡುವವರೆಗೂ,	suthrikarisalpaduvavaregu,
ಆಟದಲ್ಲಿ	aatadalli
ಸಾಮಾನ್ಯವಾಗಿ	saamaanyavaagi
ಕೆಳಮಟ್ಟದ	kelamattada
ಸ್ಟಂಪುಗಳನ್ನು	stampugalannu
ಬಳಸಲಾಗುತ್ತಿತ್ತು,	balasalaaguttittu,
ಚೆಂಡನ್ನು	chendannu
ಭುಜದ	bhujada
ಕೆಳಮಟ್ಟದಲ್ಲಿ	kelamattadalli
ಬೌಲ್‌ಮಾಡಲಾಗುತ್ತಿತ್ತು	bowlmaadalaaguttittu
(ಈಗ	(eega
ಇದು	idu
ನಿಯಮಬಾಹಿರವಾಗಿದೆ),	niyamabaahiravagide),
ಮತ್ತು	mattu
ರಕ್ಷಣಾತ್ಮಕ	rakshanatmaka
ಪ್ಯಾಡುಗಳನ್ನು	pyadugalannu
ಬ್ಯಾಟುಗಾರರು	byaatugaararu
ಧರಿಸುತ್ತಿರಲಿಲ್ಲ.	dharisuttiralilla.
</s>	</s>
ಇವರ	ivara
ತಂದೆ	tande
ಪಂಡಿತ	panditha
ರುದ್ರಪ್ಪ,	Rudrappa,
ತಾಯಿ	thati
ನಂಜಮ್ಮ.	Nanjamma.
</s>	</s>
ಒಂದು	ondu
ದೃಷ್ಟಿಯಿಂದ	drushtiyinda
ಗೆಜ಼ಿಟಿಯರಿನಂಥ	gezetiernantha
ಸಾಹಿತ್ಯದ	saahityada
ರಚನೆ	rachane
ಪ್ರಾದೇಶಿಕ	pradeshika
ವರ್ಣನೆಗಳನ್ನೊಳಗೊಂಡ	varnanegalannolagonda
ಅನೇಕ	aneka
ಪುರಾಣಗಳ	puraanagala
ಕಾಲದಿಂದಲೇ	kaaladindale
ಪ್ರಾರಂಭವಾಯಿತೆನ್ನಬಹುದು.	praarambhavayitennabahudu.
</s>	</s>
ಶ್ರೀಸ್ವರ್ಣಗೌರಿಯವರ	shreeswarnagouriyavara
ಜಾತ್ರೆಯು	jaathreyu
ಇಲ್ಲಿನ	illina
ಪ್ರಮುಖ	pramukha
ಆಕರ್ಷಣೆ.	aakarshane.
</s>	</s>
ಈ	ee
ವಿಚಾರ	vichaara
ಕಿವುಡಿನ	kivudina
ವಿಚಾರದಲ್ಲಂತೂ	vichaaradallanthu
ಬಹುಸೂಕ್ತ;	bahusukshma;
ಏಕೆಂದರೆ	ekendare
ಕಿವಿಯ	kiviya
ಕೆಲಸವನ್ನು	kelasavannu
ದೇಹದಲ್ಲಿ	dehadalli
ಇನ್ಯಾವ	inyaava
ಅಂಗವೂ	angavu
ಮಾಡಲಾರದು.	maadalaaradu.
</s>	</s>
ಒಂದು	ondu
ರೂಟ್‌ಕಿಟ್‌	rootkit
ಆ‍ಯ್‌೦ಟಿವೈರಸ್‌	antivirus
ಸ್ಕ್ಯಾನ್	scan
ಸಮಯದಲ್ಲಿ	samayadalli
ತನ್ನನ್ನು	tannannu
ತಾನು	taanu
ಅಡಗಿಸಿಕೊಳ್ಳಲು	adagisikollalu
ಪ್ರಯತ್ನಿಸಿದರೆ,	prayatnisidare,
ಸ್ಟೆಲ್ತ್	stealth
ಡಿಟೆಕ್ಟರ್	detector
ಅದನ್ನು	adannu
ಕಂಡುಹಿಡಿಯುತ್ತದೆ;	kanduhidiyuttade;
ಒಂದು	ondu
ವೇಳೆ	vele
ಅದು	adu
ತಾತ್ಕಾಲಿಕವಾಗಿ	taatkaalikavaagi
ಸಿಸ್ಟಮ್‌ನಿಂದ	system ninda
ಅನ್‌ಲೋಡ್	unload
ಆಗಲು	aagalu
ಪ್ರಯತ್ನಿಸಿದರೆ ಅದನ್ನು	prayatnisidare
ಫಿಂಗರ್‌ಪ್ರಿಂಟ್	fingerprint
(ಅಥವಾ	(athava
ಸಿಗ್ನೇಚರ್)	signature)
ಡಿಟೆಕ್ಷನ್	detection
ಕಂಡುಹಿಡಿಯುತ್ತದೆ.	kanduhidiyuttade.
</s>	</s>
`ಆಕ್ರಮಣ'	akramana'
ಚಿತ್ರವನ್ನು	chitravannu
ಗಿರೀಶ್	Girish
ಕಾಸರವಳ್ಳಿ	Kasaravalli
ನಿರ್ದೇಶಿಸಿದರೆ,	nirdeshisidare,
‘ಉದ್ಭವ’	'udbhava'
ಚಿತ್ರವನ್ನು	chitravannu
ಕೋಡ್ಲು	Kodlu
ರಾಮಕೃಷ್ಣ	Ramakrishna
ನಿರ್ದೇಶನ	nirdeshana
ಮಾಡಿದ್ದಾರೆ.	madiddare.
</s>	</s>
ಕೆಲವೊಮ್ಮೆ	kelavomme
ಅವನನ್ನು	avanannu
ಶಿವನೊಂದಿಗೂ	Shivanondigu
ಸಂಬಂಧಿಸಲಾಗುತ್ತದೆ.	samabandhisalaguttade.
</s>	</s>
ಯಾವುದೇ	yavude
ದೇಶದ	deshada
ಬಹುಜನರ	bahujanara
ಬುಡಕಟ್ಟು,	budakattu,
ಮತ,	mata,
ಭಾಷೆ,	bhaashe,
ಆಚಾರವ್ಯವಹಾರ	acharavyavahara
ಇತ್ಯಾದಿಗಳು	ityadigalu
ಒಂದು	ondu
ತೆರನಾಗಿದ್ದು,	teranaagiddu,
ಇವುಗಳಿಂದ	ivugaligintha
ಭಿನ್ನವಿರುವ	bhinnaviruva
ಬುಡಕಟ್ಟು,	budakattu,
ಧರ್ಮ,	dharma,
ಭಾಷೆ	bhaashe
ಇತ್ಯಾದಿಗಳನ್ನನುಸರಿಸುವ	ityaadigalannanusarisuva
ಜನ	jana
ಸ್ವಲ್ಪವಿದ್ದರೆ	swalpaviddare
ಅವರನ್ನು	avarannu
ಅಲ್ಪಸಂಖ್ಯಾತರು	alpasamkhyaatharu
ಎನ್ನುತ್ತೇವೆ.	ennutteve.
</s>	</s>
ಮೂಳೆಗಳು	mulegalu
ಮತ್ತು	mattu
ಅಂಗಾಂಗಗಳನ್ನು	angaangagalannu
ಕತ್ತರಿಸಿ	kattarisi
ತೆಗೆಯುವುದು.	tegeyuvudu.
</s>	</s>
ಆದಕಾರಣ,	aadhakaarana,
ಡಿಸೆಂಬರ್	December
೧೬	16
ರ	ra
ಸ್ಮೇಕ್	smake
ಡೌನ್	down
ಎಡಿಶನಲ್	aditional
ನಲ್ಲಿ,	nalli
ಬಿಗ್	big
ಶೊ	show
ಮತ್ತು	mattu
ಕೇನ್	Ken
ಆರ್ಮಗೆಡ್ಡೋನ್	Armageddon
ನಲ್ಲಿ	nalli
ನಡೆಯುವ	nadeyuva
ಪಂದ್ಯದಲ್ಲಿ	pandyadalli
ಬಟಿಸ್ಟ	Batista
ಮತ್ತು	mattu
ಮಿಸ್ಟಿರಿಯೊ	Mistiriyo
ರನ್ನು	rannu
ಎದುರಿಸಿದರು.	edurisidaru.
</s>	</s>
ಸುಲಭವಾಗಿ	sulabhavaagi
ಬಾಗುವ	baguva
ಬ್ಯಾಟರಿ	battery
</s>	</s>
ಇತಿಹಾಸ,	itihaasa,
ರಾಜ್ಯಶಾಸ್ತ್ರಗಳೆರಡನ್ನೂ	raajyashaastragaleradannu
ಅಭ್ಯಾಸ	abhyaasa
ಮಾಡಿದ್ದ	maadiddaa
ರಾಷೆರ್	Rasher
ವಿವೇಕಯುತ	vivekayutha
ರಾಜಕಾರಣಕ್ಕೆ	raajakaranakke
ಇತಿಹಾಸದ	itihasada
ಅನುಭವವೇ	anubhavave
ಆಧಾರವಾಗಬೇಕೆಂದು	adharavagabekendu
ಪ್ರತಿಪಾದಿಸಿದ.	pratipadisida.
</s>	</s>
ಇತರ	itara
ವಿಧಾನಗಳು	vidhanagalu
ಆರ್ಥಿಕವಾಗಿ	arthikavagi
ಹಾಗು	hagu
ನೈಸರ್ಗಿಕವಾಗಿ	naisargikavagi
ಪರಿಸರಕ್ಕೆ	parisarakke
ಸೂಕ್ತವಲ್ಲ.	suktavalla.
</s>	</s>
ಇವರು	ivaru
ಬಾಲಕಲಾ	baalakala
ಕಲ್ಪ	kalpa
ಎಂಬ	emba
ನಾಟಕ	naataka
ಸಂಸ್ಥೆಯನ್ನು	samstheyannu
ಸ್ಥಾಪಿಸಿದ್ದಾರೆ.ಮತ್ತು	sthapisiddare mattu
ವರ್ಣಶ್ರೀಕಲಾರಂಗ	varnashrikalaaranga
ಸ್ಥಾಪಕ	sthaapaka
ಅಧ್ಯಕ್ಷೆಯಾಗಿದ್ದರು.	adhyaksheyagiddaru.
</s>	</s>
ಅಲ್ಲಿಯ	alliya
ನವಾಬರ	navaabara
ಮೇಲೆ	mele
ಪಾಕಿಸ್ತಾನ	Pakisthana
ಸೇರುವಂತೆ	seruvanthe
ಸರ್	Sir
ಶಾ	Sha
ನವಾಜ್	Navaz
ಭುಟ್ಟೋ	Bhutto
ಒತ್ತಡ	ottada
ಹೇರಿದ್ದರು.	heriddaru.
</s>	</s>
ಇದು	idu
ವ್ಯಾಪಕವಾಗಿ	vyapakavagi
ನಂಬಲಾದಂತಹ	nambaladantaha
ಮೊದಲ	modala
ವಸ್ತುವೆನಿಸಿದೆ.	vastuveniside.
</s>	</s>
ಬ್ಲ್ಯಾಕ್‌	black
ಪವರ್‌	power
ಎಂಬುದು,	embudu,
೧೯೬೦	1960
ಹಾಗೂ	hagu
೧೯೭೦ರ	1970 ra
ದಶಕದ	dashakada
ಕಾಲಾವಧಿಯಲ್ಲಿ,	kaalaavadhiyalli,
ಅಮೆರಿಕಾ	Amerika
ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದಲ್ಲಿನ	samsthaanadalllina
ಕರಿಯರಲ್ಲಿ	kariyaralli
ಹೊಸ	hosa
ರೀತಿಯ	ritiya
ಜನಾಂಗೀಯತೆ	janaangiyate
ಪ್ರಜ್ಞೆ	prajne
ವ್ಯಕ್ತಪಡಿಸುವ	vyaktapadisuva
ರಾಜಕೀಯ	rajakiya
ಚಳವಳಿಯಾಗಿತ್ತು.	chaluvaliyaagittu.
</s>	</s>
ಅವರು	avaru
ಜಗತ್ತಿಗೆ	jagattige
ನೀಡಿದ	needida
ಬಹುದೊಡ್ಡ	bahudodda
ಗ್ರಂಥಮಾಲೆ	granthamaale
ಮತ್ತು	mattu
ಅವರು	avaru
ಸ್ಥಾಪಿಸಿದ	sthaapisida
ಸಂಸ್ಥೆ	samsthe
ವಿಶ್ವ-ಭಾರತಿ ವಿಶ್ವಾವಿದ್ಯಾನಿಲಯ-ಇವು	vishvavidyanilaya- ivu
ಅವರ	avara
ಪ್ರಮುಖ	pramukha
ಕೊಡುಗೆ.	koduge.
</s>	</s>
ಎಂಟ್ರೋಪಿ	entropy
ಹೆಚ್ಚುತ್ತ	hechchutta
ಹೆಚ್ಚುತ್ತ	hechchutta
ಅಧಿಕತಮವಾದಾಗ,	adhikatamavadaga,
ಅಂದರೆ	andare
ಎಲ್ಲ	ella
ಪದಾರ್ಥಗಳ	padaarthagala
ಉಷ್ಣಾಂಶವೂ	ushnaamshavu
ಒಂದೇ	onde
ಆದಾಗ,	adaaga,
ವಿಶ್ವವು	vishvavu
ಕೊನೆಗಾಣುತ್ತದೆ.	konegaanuttade.
</s>	</s>
ಕನ್ನಡ	kannada
ಭಾಷೆ	bhaashe
ಮತ್ತು	mattu
ಸಾಹಿತ್ಯದ	saahityada
ಮೇಲೆ	mele
ಅಪಾರ	appara
ಪ್ರೀತಿ	priti
ಹೊಂದಿರುವ	hondiruva
ಲಲಿತಾ	Lalitha
ಅವರು,	avaru,
ರಾಷ್ಟ್ರಕವಿ	Rashtrakavi
ಕುವೆಂಪು	Kuvempu
ಅವರ	avara
`ಚಿತ್ರಾಂಗದ’	'Chitraangada'
ಕಾವ್ಯವನ್ನು	kaavyavannu
ಹೆಜ್ಜೆಗಿಳಿಸಿದ್ದಾರೆ.	hejjegilisiddaare.
</s>	</s>
ಪಂಢರಪುರದ	Pandharapurada
ವಿಗ್ರಹವು	vigrahavu
ದಿಗಂಬರವಾಗಿ	digambaravaagi
ಇರುತ್ತದೆ,	iruttade,
ಅಥವಾ	athava
ಜನನಾಂಗಗಳ	jananaangagala
ಆಕಾರವು	aakaaravu
ಕಾಣುವ	kaanuva
ಸೊಂಟವನ್ನು	sontavannu
ಸುತ್ತಿದ	suttida
ಒಂದು	ondu
ಮಡಿಕೆಯುಳ್ಳ	madikeyulla
ಮತ್ತು	mattu
ಪಾದಗಳಿಗೆ	paadagalige
ವಿಸ್ತರಿಸುವ	vistarisuva
(ನೀಳುಡುಪು)	(neeludupu)
ಒಂದು	ondu
ಕೌಪೀನದಿಂದ	koupeenadinda
ತೊಡಿಸಲ್ಪಟ್ಟಿರುತ್ತದೆ.	todisalpattiruttade.
</s>	</s>
ವೀಕ್ಷಣಾಲಯಗಳು:	veekshanaalayagalu:
ವೀಕ್ಷಣಾಲಯದಲ್ಲಿರುವ	Veekshanaalayadalliruva
ಜಿ.	G
</s>	</s>
ಎಲೆಗಳ	elegala
ಬುಡವನ್ನು	budavannu
ಪೊರೆಯಂಥ	poreyantha
ರಚನೆ	rachane
ಆವರಿಸಿರುತ್ತದೆ.	aavarisiruttade.
</s>	</s>
ಕೆಂಪು	kempu
ಬಣ್ಣದ	bannada
ಮೇಲಿನ	melina
ಭಯವು	bhayavu
ಕಡಿಮೆಯಾದ	kadimeyaada
ನಂತರ	nanthara
ತಂಡವು	tandavu
ಮತ್ತೆ	matte
ರೆಡ್ಸ್‌‌	reds
ಎಂದು	endu
ಕರೆಯಲಾಗುತ್ತಿದೆ.	kareyalaaguttade.
</s>	</s>
ಅದಲ್ಲದೇ	adallade
ಬ್ರಾಡ್	broad
ಬ್ಯಾಂಡ್	band
ದೊರಕದ	dorakada
ಕಾರಣ	kaarana
ಟೆಲಿಫೋನ್	telephone
ತಂತಿಗಳನ್ನು	tanthigalannu
ಗುತ್ತಿಗೆ	guttige
ನೀಡುತ್ತಿದ್ದರು.	needuttiddaru.
</s>	</s>
ಒಂದು	ondu
ದೇಶದ	deshada
ಎಲ್ಲ	ella
ಕಾಲೇಜುಗಳೂ	kaalejugalu
ಒಂದೇ	onde
ರೀತಿಯ	ritiya
ನಿಯಮಗಳನ್ನು	niyamagalannu
ರೂಪಿಸಿಲ್ಲ.	rupisilla.
</s>	</s>
ಕಡುಗಪ್ಪು	kadugappu
ಬಣ್ಣದ	bannada
ಬಾಲಗಳು	baalagalu
ನೆಲಕ್ಕು	nelakku
ತಾಗುವಂತಿರುತ್ತದೆ.	taaguvanthiruttade.
</s>	</s>
ಇನ್ನು	innu
ಮಕ್ಕಾ	makka
ಮುಶ್ರಿಕ್	mushrik
ಗಳು	galu
ತಮ್ಮ	tamma
ಕಷ್ಟಕಾಲದಲ್ಲಿ	kashtakaaladalli
ಅಲ್ಲಾಹನೊಂದಿಗೆ	allahanondige
ಸಹಾಯ	sahaaya
ಅಭ್ಯರ್ಥಿಸಿದ್ದಾಗಿಯೂ	abhyarthisiddaagiyu
ಆನಂತರ	ananthara
ಆ	aa
ಕಷ್ಟಗಳು	kashtagalu
ದೂರವಾಗಿ	duravaagi
ಸುಖ	sukha
ಬಂದಾಗ	bandaaga
ತಮ್ಮ	tamma
ಆರಾಧ್ಯರೆಡೆಗೆ	aaraadhyadedege
ಮರಳಿದ್ದಾಗಿಯೂ	maraliddaagiyu
ಕುರ್	kur
ಆನ್	aan
ಹೇಳುತ್ತೆ.	heluttade.
</s>	</s>
ಅದಕ್ಕಾಗಿ	adakkaagi
ಚಳಿಗಾಲದ	chaligaalada
ಆರಂಭಿಕ	aarambhika
2002	2002
ರ	ra
ಕ್ರೀಡೆಗಳ	kreedegala
ಪ್ರಸಾರವನ್ನೂ	prasaaravannu
ಕೈಗೆತ್ತಿಕೊಂಡಿತು.	kaigettikonditu.
</s>	</s>
ಈ	ee
ಕಟ್ಟಡಗಳಲ್ಲಿ	kattadagalalli
ತೂಕಗಳನ್ನು	tukagalannu
ಹೊರಬಲ್ಲ	horaballa
ಕಲ್ಲು	kallu
ಅಥವಾ	athava
ಇಟ್ಟಿಗೆಗೋಡೆಗಳ	ittigegodegala
ಹೊರ	hora
ಆವರಣಗಳಿರುತ್ತಿದ್ದುವು.	aavaranagaliruttiddavu.
</s>	</s>
ಈ	ee
ನಮ್ಮ	namma
ವಿಚಾರಗಳ	vichaaragala
ಸಾರಾಂಶವನ್ನು	saaraamshavannu
ಈ	ee
ರೀತಿ	riti
ನಿರೂಪಿಸಬಹುದು	nirupisabahudu
:	:
ಪ್ರಕೃತಿ	prakruthi
ವ್ಯಾಪಾರಗಳೆಲ್ಲ	vyaapaaragalella
ಶಕ್ತಿಯು	shaktiyu
ಲಭ್ಯ	labhya
ರೂಪದಿಂದ	rupadinda
ಅಲಭ್ಯ	alabhya
ರೂಪಕ್ಕೆ	rupakke
ಮಾರ್ಪಾಡಾಗುತ್ತದೆ.	maarpaadaguttade.
</s>	</s>
ಜೇಡ,	jeda,
ಫೀಡಗಳನ್ನು	feedagalannu
ತಡೆ	tade
ಹಿಡಿಯುತ್ತದೆ.	hidiyuttade.
</s>	</s>
ಇಲೆಕ್ಟ್ರಾನಿಕವಾಗಿ	elektranikavaagi
ನಡೆಸಲಾಗುತ್ತಿರುವ	nadesalaaguttiruva
ವ್ಯಾಪಾರದ	vyaparada
ಪ್ರಮಾಣವು	pramaanavu
ವ್ಯಾಪಕವಾದ	vyapakavaada
ಅಂತರ್ಜಾಲದ	antarjaalada
ಬಳಕೆಯಿಂದ	balakeyinda
ಅಸಾಧಾರಣ	asaadharana
ರೀತಿಯಲ್ಲಿ	ritiyalli
ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.	abhivruddhiyagide.
</s>	</s>
ಆ	aa
ದಿನ	dina
ಬೆಳಗ್ಗೆ	belagge
ಬೇಗ	bega
ಎದ್ದು	eddu
ಅಭ್ಯಂಜನ	abhyanjana
ಮಾಡಿ	maadi
ಶಿವನಿಗೆ	shivanige
ಅಭಿಷೇಕ	abhisheka
ಮಾಡುವುದು	maaduvudu
ರೂಢಿ.	roodhi.
</s>	</s>
ಆದಾಗ್ಯೂ,	aadagyu,
ಕೈಗಾರಿಕಾ	kaigarika
ಕ್ರಾಂತಿಯ	kranthiya
ಫಲವಾಗಿ,ಕೊಳಕು	phalavagi,kolaku
ವಾಸದ	vaasada
ಸ್ಥಿತಿಗತಿಗಳ	sthitigatigala
ಮ‌ೂಲಕ	mulaka
ಹರಡಿದ	haradida
ರೋಗಗಳಿಂದಾಗಿ	rogagalindaagi
ಕಾರ್ಮಿಕ	kaarmika
ವರ್ಗದ	vargada
ಭಾರೀ	bhaari
ಸಂಖ್ಯೆಯ	sankhyeya
ಜನರು	janaru
ಅಸುನೀಗಿದರು.	asuneegidaru.
</s>	</s>
ನಿರ್ಮಾಣ	nirmaana
ಯೋಜನೆಗಳನ್ನು	yojanegalannu
ಧಾರ್ಮಿಕ	dharmika
ಉದ್ದೇಶಗಳಿಗಾಗಿ	uddeshagaligaagi
ಮತ್ತು	mattu
ನೆನಪಿಗಾಗಿ	nenapigaagi
ಕೇಂದ್ರಾಡಳಿತವು	kendraadalitavu
ಆಯೋಜಿಸುತ್ತಿತ್ತು.	ayojisuttittu.
</s>	</s>
ಕಮಾನಿನ	kamaanina
ದಪ್ಪ	dappa
ಮೇಲುಗಡೆ	melugade
0.60ಮೀ	0.60m
101ಮಿಮೀ	101m m
ಕೆಳಗಡೆ	kelagade
2.12ಮೀ	2.12m
ಊರೆಗಳ	uregala
ಗರಿಷ್ಠ	garishta
ಅಗಲ	agala
109.2 ಮೀ	109.2m
ಖಿ	m
ಅಥವಾ	athava
ಹೋರಿಯ	horiya
ತಲೆಯ	taleya
(ಬುಲ್	(bull
ಹೆಡ್)	head)
ಆಕಾರದ	aakaarada
ಕಟ್ಟೆಯಲ್ಲಿಯೂ	katteyalliyu
ಊರುಗಳನ್ನು	urugalannu
ಉಪಯೋಗಿಸುತ್ತಾರೆ.	upayogisuttaare.
</s>	</s>
ದಕ್ಷಿಣ	dakshina
ಭಾರತದಲ್ಲಿ	bhaarathadalli
ಇದು	idu
ಮಸಾಲೆ	masaale
ಪದಾರ್ಥಗಳಲ್ಲಿ	padaarthagalalli
ಬಳಸಲಾಗುವ	balasalaaguva
ಅವಿಭಾಜ್ಯ	avibhaajya
ಘಟಕವಾಗಿದ್ದು,	ghatakavaagiddu,
ಅಲ್ಲಿ	alli
ಕರಿಬೇವಿನ	karibevina
ಎಲೆಗಳಿಲ್ಲದೇ	elegalillade
ಮಸಾಲೆ	masaale
