Kannada-Word,Part-of-Speech
ಯೋಜನೆಯ,N__NN
ಅಡಿ,RP__RPD
ವಿಶ್ವವಿದ್ಯಾನಿಲಯ,N__NNP
ಹಣಕಾಸು,N__NNP
ಆಯೋಗವು,N__NNP
ನೀಡುವ,V__VM__VNG
ನಿರ್ಮಾಣ,N__NN
ನಿಧಿಯಲ್ಲಿ,N__NN
ರೂ.,N__NN
211.50,QT__QTC
ಲಕ್ಷ,QT__QTC
ಮತ್ತು,CC__CCD
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿಗೆ,N__NN
ಪಡೆದ,V__VM__VNG
ರೂ.,N__NN
1.30,QT__QTC
ಕೋಟಿಯ,N__NN
ಲಾಭ,JJ
ಅಂಶದ,N__NN
ಒಂದು,QT__QTC
ಭಾಗವನ್ನು,N__NN
ಈ,DM__DMD
ಕಟ್ಟಡವನ್ನು,N__NN
ನಿರ್ಮಿಸಲು,V__VM__VINF
ಯೋಜಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ವಿಶ್ವವಿದ್ಯಾನಿಲಯದ,N__NN
ಆಡಳಿತದ,N__NN
11ನೇ,QT__QTO
ಪಂಚವಾರ್ಷಿಕ,N__NN
ಯೋಜನೆಯ,N__NN
ನಿಧಿಯ,N__NN
ಅಡಿ,RP__RPD
ತಮಿಳು,N__NNP
ವಿಶ್ವವಿದ್ಯಾನಿಲಯದ,N__NN
ಆವರಣದಲ್ಲಿ,N__NN
ಕ್ರೀಡಾ,JJ
ಆಯೋಗವನ್ನು,N__NN
ಸ್ಥಾಪಿಸಲು,V__VM__VINF
ಕ್ರಮ,N__NN
ಕೈಗೊಳ್ಳಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
11ನೇ,QT__QTO
ಪಂಚವಾರ್ಷಿಕ,N__NN
ಯೋಜನೆ,N__NN
ಅಡಿ,RP__RPD
ಆತಿಥ್ಯ,JJ
ನಿರ್ವಹಣೆಗೆ,N__NNV
ಆಗಿ,RP__RPD
ರೂ.,N__NN
11.00,QT__QTC
ಲಕ್ಷ,QT__QTC
ಮಂಜೂರು,N__NN
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಮೊದಲ,JJ
ಮಹಡಿಯಲ್ಲಿ,N__NN
ಇರುವ,V__VM__VNG
ಎಲ್ಲಾ,JJ
ಕೊಠಡಿಗಳು,N__NN
ಕೊಳಾಯಿಗಳನ್ನು,N__NN
ಹೊಂದಿವೆ,V__VM__VF
.,RD__PUNC
ತಾಂತ್ರಿಕ,JJ
ಶಿಕ್ಷಣ,N__NN
ಮಾರ್ಗದ,N__NN
ಮೂಲಕ,RP__RPD
ರೂ.,N__NN
10.00,QT__QTC
ಲಕ್ಷ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ವಿಶೇಷ,JJ
ನಿರ್ವಹಣಾ,JJ
ಕಾಮಗಾರಿಗಳನ್ನು,N__NN
ಕೈಗೊಳ್ಳಲು,V__VM__VF
ಆಗುವುದು,V__VAUX
.,RD__PUNC
ಸೆಂತಮಿಳು,N__NNP
ವ್ಯುತ್ಪತ್ತಿ,N__NN
ವರ್ಣಮಾಲೆ,N__NN
ಯೋಜನೆಯ,N__NN
ನಿರ್ವಹಣೆ,N__NNV
.,RD__PUNC
ವರ್ಣಮಾಲೆಯು,N__NN
ಭಾಷೆಯ,N__NN
ಬೆಳೆವಣಿಗೆ,N__NNV
ಮತ್ತು,CC__CCD
ಶ್ರೀಮಂತಿಕೆಯ,N__NN
ಮಾನದಂಡ,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಆದ್ದರಿಂದಲೇ,CC__CCS
"""",RD__PUNC
ಅಕ್ಷರಮಾಲೆಯು,N__NN
ಜನರನ್ನು,N__NN
ಒಟ್ಟು,RB
ಸೇರಿಸುವ,V__VM__VNG
ಮತ್ತು,CC__CCD
ಮಾತೃ,JJ
ಭಾಷೆಯನ್ನು,N__NN
ಸರಿಯಾಗಿ,RB
ಮಾತನಾಡುವಂತೆ,V__VM__VNF
ಮಾಡುವ,V__VM__VNG
ಸಾಧನ,N__NN
"""",RD__PUNC
ಎಂದು,CC__CCS__UT
ಹೇಳಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ವ್ಯುತ್ಪತ್ತಿಯನ್ನು,N__NN
ತಿಳಿದು,V__VM__VNG
ಇದ್ದರೆ,V__VAUX
ಮಾತ್ರ,RP__RPD
ಜನರು,N__NN
ಭಾಷೆಯನ್ನು,N__NN
ಸರಿಯಾಗಿ,RB
ಮಾತನಾಡಬಲ್ಲರು,V__VM__VF
.,RD__PUNC
ಸಂಶೋಧಕರಿಗೆ,N__NN
ತಮಿಳು,N__NNP
ಭಾಷೆಯ,N__NN
ಪ್ರಾಚೀನ,JJ
ಇತಿಹಾಸವು,N__NN
ಸ್ಪಷ್ಟವಾಗಿ,RB
ತಿಳಿದಿದೆ,V__VM__VF
.,RD__PUNC
ಅನೇಕ,QT__QTF
ವಿಶ್ವ,N__NN
ಭಾಷೆಗಳಲ್ಲಿ,N__NN
ವ್ಯುತ್ಪತ್ತಿಯ,N__NN
ವರ್ಣಮಾಲೆಗಳು,N__NN
ಹೊರಹೊಮ್ಮಿವೆ,V__VM__VF
.,RD__PUNC
ತಮಿಳಿನಲ್ಲೂ,N__NNP
ಅಕ್ಷರಮಾಲೆಯ,N__NN
ಮೂಲವನ್ನು,N__NN
ಹೊರತರಲು,V__VM__VINF
1974ರಲ್ಲಿ,N__NN
ಈ,DM__DMD
ಸಂಸ್ಥೆಯನ್ನು,N__NN
ತಮಿಳುನಾಡಿನ,N__NNP
ಗೌರವಾನ್ವಿತ,JJ
ಮುಖ್ಯ,JJ
ಮಂತ್ರಿಯವರು,N__NN
ಸ್ಥಾಪಿಸಿದರು,V__VM__VF
.,RD__PUNC
ಇದು,DM__DMD
ದೇವನೆಯಪ್ಪ,N__NNP
ಅವರ,N__NN
ನೇತೃತ್ವದಲ್ಲಿ,N__NN
ರೂಪುಗೊಂಡಿತು,V__VM__VF
.,RD__PUNC
ತಮಿಳು,N__NNP
ಪದಗಳ,N__NN
ಹೊರಹೊಮ್ಮುವಿಕೆ,N__NNV
",",RD__PUNC
ಸಾಹಿತ್ಯದ,N__NN
ಬೆಳೆವಣಿಗೆಯ,N__NNV
ಇತಿಹಾಸ,N__NN
",",RD__PUNC
ವ್ಯಾಕರಣ,N__NN
",",RD__PUNC
ಶಿಲಾಶಾಸನ,N__NN
",",RD__PUNC
ಸ್ಥಳೀಯ,JJ
ಜನರ,N__NN
ಪ್ರಕರಣಗಳ,N__NN
ಮೂಲಕ,RP__RPD
ವಿವಿಧ,JJ
ಚಿತ್ರಗಳ,N__NN
ವಿವರಣೆಗಳೊಂದಿಗೆ,N__NNV
ಅರೆ,JJ
-,RD__SYM
ವಿಶ್ವಕೋಶದ,N__NN
ರೂಪದಲ್ಲಿ,N__NN
",",RD__PUNC
ಬುನಾದಿ,N__NN
ಮತ್ತು,CC__CCD
ಇತಿಹಾಸವನ್ನು,N__NN
ತೋರಿಸಲು,V__VM__VF
ಆಗುತ್ತಿದೆ,V__VAUX
",",RD__PUNC
ಹಾಗೆಯೇ,CC__CCS
ದ್ರಾವಿಡ,N__NNP
ಭಾಷೆಗಳಲ್ಲಿ,N__NN
ತಮಿಳು,N__NNP
ಪದಗಳು,N__NN
ವಿಶ್ವ,JJ
ಭಾಷೆಗಳೊಂದಿಗೂ,N__NN
ಸಂವಹನ,N__NN
ನಡೆಸುವುದನ್ನು,V__VM__VNG
ದೃಷ್ಟೀಕರಿಸಲು,V__VM__VINF
ಆಗಿ,V__VAUX
ಇದ್ದು,V__VAUX
",",RD__PUNC
12000,QT__QTC
ಪುಟಗಳನ್ನು,N__NN
ಒಳಗೊಂಡ,V__VM__VNG
31,QT__QTC
ಸಂಪುಟಗಳನ್ನು,N__NN
ಹನ್ನೆರಡು,QT__QTC
ವಿಭಾಗಗಳಲ್ಲಿ,N__NN
ಪ್ರಕಟಿಸುವ,V__VM__VNG
ಯೋಜನೆಯ,N__NN
ಅಡಿ,RP__RPD
",",RD__PUNC
ಇದುವರೆಗೆ,NST
28,QT__QTC
ಸಂಪುಟಗಳನ್ನು,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಪ್ರಕಟಿತ,JJ
ಸಂಪುಟಗಳು,N__NN
ವಿದ್ವಾಂಸರ,N__NN
ಮೆಚ್ಚುಗೆಗೆ,N__NN
ಪಾತ್ರ,N__NN
ಆಗಿವೆ,V__VM__VF
.,RD__PUNC
ಪ್ರಸಕ್ತ,JJ
2010,QT__QTC
-,RD__SYM
2011ನೇ,QT__QTO
ಸಾಲಿನ,N__NN
ಒಳಗೆ,N__NST
ಉಳಿದ,V__VM__VNG
3,QT__QTC
ಸಂಪುಟಗಳನ್ನು,N__NN
ಪ್ರಕಟಿಸುವ,V__VM__VNG
ಕಾರ್ಯವು,N__NN
ಪ್ರಗತಿಯಲ್ಲಿ,N__NN
ಇದೆ,V__VM__VF
.,RD__PUNC
ವಿಜ್ಞಾನ,N__NN
ತಮಿಳು,N__NNP
ವೇದಿಕೆ,N__NN
.,RD__PUNC
ವಿಜ್ಞಾನ,N__NN
ತಮಿಳು,N__NNP
ವೇದಿಕೆಯನ್ನು,N__NN
ತಮಿಳುನಾಡು,N__NNP
ಸರ್ಕಾರವು,N__NN
2006ರಲ್ಲಿ,N__NN
ವಿಜ್ಞಾನ,N__NN
ತಮಿಳನ್ನು,N__NNP
ಅಭಿವೃದ್ಧಿಪಡಿಸುವ,V__VM__VNG
ಉದ್ದೇಶದಿಂದ,N__NN
ರಚಿಸಿತು,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ವೇದಿಕೆಯು,N__NN
ವಿಚಾರ,JJ
ಸಂಕಿರಣಗಳು,N__NN
",",RD__PUNC
ಕಾರ್ಯಾಗಾರಗಳು,N__NN
",",RD__PUNC
ವಿಜ್ಞಾನ,N__NN
ಮೇಳ,N__NN
ಇತ್ಯಾದಿಗಳನ್ನು,RP__RPD
ನಡೆಸಿ,V__VM__VNF
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳಿನ,N__NNP
ಬಗ್ಗೆ,RP__RPD
ಅರಿವು,N__NNV
ಮೂಡಿಸುತ್ತದೆ,V__VM__VF
.,RD__PUNC
ವೇದಿಕೆಯ,N__NN
ವತಿಯಿಂದ,RP__RPD
',RD__PUNC
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
',RD__PUNC
ಎಂಬ,CC__CCS__UT
ಮಾಸ,JJ
ಪತ್ರಿಕೆಯನ್ನು,N__NN
ಪ್ರಕಟಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಇದು,DM__DMD
ವಿದ್ಯಾರ್ಥಿಗಳು,N__NN
",",RD__PUNC
ಶಿಕ್ಷಕರು,N__NN
",",RD__PUNC
ಸಾರ್ವಜನಿಕರಿಂದ,N__NN
ಉತ್ತಮ,JJ
ಸ್ವೀಕಾರವನ್ನು,N__NN
ಹೊಂದಿದೆ,V__VM__VF
.,RD__PUNC
ಪ್ರಖ್ಯಾತ,JJ
ವಿಜ್ಞಾನಿಗಳ,N__NN
ಲೇಖನಗಳು,N__NN
",",RD__PUNC
ವೈಜ್ಞಾನಿಕ,JJ
ತುಣುಕುಗಳು,N__NN
ಇತ್ಯಾದಿಗಳನ್ನು,RP__RPD
ಅದರಲ್ಲಿ,DM__DMD
ಸೇರಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ವಿದ್ಯಾರ್ಥಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಶಿಕ್ಷಕರನ್ನು,N__NN
ಉತ್ತೇಜಿಸಲು,V__VM__VINF
ಪ್ರತ್ಯೇಕ,JJ
ಅಂಕಣವನ್ನು,N__NN
ಮೀಸಲು,N__NN
ಇಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಸುಗಂಧವನ್ನು,N__NN
ರಾಜ್ಯದ,N__NN
ಆದ್ಯಂತ,PSP
ಪಸರಿಸಲು,V__VM__VINF
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಮಾಸ,JJ
ಪತ್ರಿಕೆಯನ್ನು,N__NN
ಸಾರ್ವಜನಿಕ,JJ
ಗ್ರಂಥಾಲಯಗಳ,N__NN
ಮೂಲಕ,RP__RPD
ಓದಿ,V__VM__VNF
ಪ್ರಯೋಜನ,N__NN
ಪಡೆಯುವಂತೆ,V__VM__VNF
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ವೇದಿಕೆಯ,N__NN
ಪರ,RP__RPD
",",RD__PUNC
ಅಧ್ಯಾಪಕರ,N__NN
ಅನುಕೂಲಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
",",RD__PUNC
ತಜ್ಞರೊಂದಿಗೆ,N__NN
ಚೆನ್ನೈನ,N__NNP
ಕೋಡಂಬಾಕ್ಕಂನ,N__NNP
ಸರ್ಕಾರಿ,JJ
ಪ್ರೌಢಶಾಲೆಯಲ್ಲಿ,N__NN
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಜಾಗೃತಿ,JJ
ಕಾರ್ಯಾಗಾರವನ್ನು,N__NN
9,QT__QTC
ಮತ್ತು,CC__CCD
10,QT__QTC
ಅಕ್ಟೋಬರ್,N__NNP
2009ರಂದು,N__NN
ಯಶಸ್ವಿಯಾಗಿ,RB
ನಡೆಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ಚೆನ್ನೈನ,N__NNP
ನಾಲ್ಕು,QT__QTC
ಶೈಕ್ಷಣಿಕ,JJ
ಜಿಲ್ಲೆಗಳಿಂದ,N__NN
125,QT__QTC
ವಿಜ್ಞಾನ,N__NN
ಶಿಕ್ಷಕರು,N__NN
ಭಾಗವಹಿಸಿ,V__VM__VNF
ತರಬೇತಿ,N__NN
ಪಡೆದರು,V__VM__VF
.,RD__PUNC
ಅವರಿಗೆ,DM__DMD
ಪ್ರಮಾಣ,N__NN
ಪತ್ರವನ್ನೂ,N__NN
ನೀಡಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ಅಲ್ಲದೆ,CC__CCS
",",RD__PUNC
ವಿದ್ಯಾರ್ಥಿಗಳಲ್ಲಿ,N__NN
ತಮಿಳು,N__NNP
ಭಾಷೆಯ,N__NN
ಬಗ್ಗೆ,RP__RPD
ವೈಜ್ಞಾನಿಕ,JJ
ಆಸಕ್ತಿಯನ್ನು,N__NN
ಬೆಳೆಸಲು,V__VM__VINF
",",RD__PUNC
ಅವರನ್ನು,PR__PRP
ಪ್ರೋತ್ಸಾಹಿಸಲು,V__VM__VINF
2009,QT__QTC
ಅಕ್ಟೋಬರ್,N__NNP
26,QT__QTC
",",RD__PUNC
27ರಂದು,N__NN
ಪೆರಿಯಾರ್,N__NNP
ವಿಶ್ವವಿದ್ಯಾಲಯದ,N__NNP
ಸಹಯೋಗದೊಂದಿಗೆ,N__NN
ಸೇಲಂ,N__NNP
ನಗರದಲ್ಲಿ,N__NN
ಎರಡು,QT__QTC
ದಿನಗಳ,N__NN
ರಾಜ್ಯಮಟ್ಟದ,N__NN
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಪ್ರದರ್ಶನವನ್ನು,N__NN
ಆಯೋಜಿಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ಈ,DM__DMD
ಪ್ರದರ್ಶನದಲ್ಲಿ,N__NN
ವಿವಿಧ,JJ
ಶಾಲೆ,N__NN
ಮತ್ತು,CC__CCD
ಕಾಲೇಜುಗಳಿಂದ,N__NN
250ಕ್ಕೂ,N__NN
ಹೆಚ್ಚು,JJ
ವಿದ್ಯಾರ್ಥಿಗಳು,N__NN
ಆಸಕ್ತಿಯಿಂದ,N__NN
ಭಾಗವಹಿಸಿ,V__VM__VNF
272,QT__QTC
ಮಾದರಿಯ,N__NN
ವೈಜ್ಞಾನಿಕ,JJ
ಸಂಶೋಧನೆಗಳನ್ನು,N__NNV
ಪ್ರದರ್ಶಿಸಿ,V__VM__VNF
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ವಿವರಿಸಲು,V__VM__VINF
ಆಗಿ,V__VAUX
ಇದ್ದು,V__VAUX
",",RD__PUNC
ಇದಕ್ಕೆ,PR__PRP
ಸಾರ್ವಜನಿಕರು,N__NN
ಮೆಚ್ಚುಗೆ,N__NN
ವ್ಯಕ್ತಪಡಿಸಿ,V__VM__VF
ಇದ್ದಾರೆ,V__VAUX
.,RD__PUNC
ಉತ್ತಮ,JJ
ಪ್ರದರ್ಶನ,N__NN
ನೀಡಿದ,V__VM__VNG
ಮಾದರಿಗಳಿಗೆ,N__NN
ಬಹುಮಾನ,N__NN
ವಿತರಿಸಲು,V__VM__VF
ಆಯಿತು,V__VAUX
.,RD__PUNC
ವೈಜ್ಞಾನಿಕ,JJ
ಕಾರ್ಯಾಗಾರ,N__NN
",",RD__PUNC
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಪ್ರದರ್ಶನ,N__NN
ಮತ್ತು,CC__CCD
ರಾಷ್ಟ್ರೀಯ,JJ
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳಿನ,N__NNP
ವಿಚಾರ,JJ
ಸಂಕಿರಣದಂತಹ,N__NN
ವೈಜ್ಞಾನಿಕ,JJ
ತಮಿಳು,N__NNP
ಅಭಿವೃದ್ಧಿ,JJ
ಕಾರ್ಯಗಳನ್ನು,N__NN
ಕೈಗೊಳ್ಳಲು,V__VM__VF
ಆಗುವುದು,V__VAUX
.,RD__PUNC
ಅನುವಾದ,JJ
ವಿಭಾಗ,N__NN
.,RD__PUNC
ಚೆನ್ನೈ,N__NNP
ರಾಜ್ಯದಲ್ಲಿ,N__NN
ಬ್ರಿಟಿಷ್,N__NNP
ಆಳ್ವಿಕೆಯ,N__NNV
ಆರಂಭದಿಂದಲೂ,N__NN
ಸಾರ್ವಜನಿಕ,JJ
ವಲಯದ,N__NN
ಭಾಗವು,N__NN
ಆಗಿ,RP__RPD
ಪ್ರಾರಂಭ,N__NN
ಆಗಿ,V__VM__VNF
ಇದ್ದು,V__VAUX
",",RD__PUNC
ಈಗ,N__NST
ಅನುವಾದ,JJ
ವಿಭಾಗವು,N__NN
ತಮಿಳು,N__NNP
ಅಭಿವೃದ್ಧಿ,JJ
ಇಲಾಖೆಯ,N__NN
ಹಲವು,QT__QTF
ವಿಭಾಗಗಳಲ್ಲಿ,N__NN
ಒಂದು,QT__QTC
ಭಾಗವು,N__NN
ಆಗಿ,RP__RPD
ಕಾರ್ಯ,N__NN
ನಿರ್ವಹಿಸುತ್ತಿದೆ,V__VM__VF
.,RD__PUNC
ಅಂದು,N__NST
ದೇಶದ,N__NN
ಅನೇಕ,QT__QTF
ವಿದ್ವಾಂಸರು,N__NN
ತಮಿಳು,N__NNP
ಘೋಷಣೆಗಳಲ್ಲಿ,N__NNV
ಆಂಗ್ಲ,N__NNP
ಸರ್ಕಾರವನ್ನು,N__NN
ಬೆಂಬಲಿಸಿ,V__VM__VNF
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ಅಧಿಸೂಚನೆಗಳು,N__NN
",",RD__PUNC
ವರದಿಗಳು,N__NN
",",RD__PUNC
ನೀತಿ,JJ
ಟಿಪ್ಪಣಿಗಳು,N__NN
",",RD__PUNC
ಯೋಜನಾ,JJ
ಕರಡುಗಳು,N__NN
ಇತ್ಯಾದಿಗಳನ್ನು,RP__RPD
ಸಾರ್ವಜನಿಕ,JJ
ಸಂಪರ್ಕಗಳ,N__NN
ಪ್ರಾಥಮಿಕ,JJ
ಕೇಂದ್ರವು,N__NN
ಆಗಿ,RP__RPD
ಭಾಷಾಂತರ,JJ
ವಿಭಾಗದೊಂದಿಗೆ,N__NN
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ಆಡಳಿತವನ್ನು,N__NN
ನಿರ್ವಹಿಸುತ್ತ,V__VM__VF
ಇದ್ದರು,V__VAUX
.,RD__PUNC
ಕಾಲ,N__NN
ಕಾಲಕ್ಕೆ,N__NN
ನ್ಯಾಯಮೂರ್ತಿಗಳ,N__NN
ಅಧ್ಯಕ್ಷತೆಯಲ್ಲಿ,N__NN
ಸರ್ಕಾರ,N__NN
ರಚಿಸುವ,V__VM__VNG
ವಿಚಾರಣಾ,JJ
ಸಮಿತಿಯ,N__NN
ವರದಿಗಳು,N__NN
",",RD__PUNC
ಕರಡು,JJ
ಕಾನೂನುಗಳು,N__NN
",",RD__PUNC
ರಾಜ್ಯಪತ್ರ,N__NN
",",RD__PUNC
ಸುತ್ತೋಲೆ,JJ
ಟಿಪ್ಪಣಿಗಳು,N__NN
",",RD__PUNC
ಸಾರ್ವಜನಿಕ,JJ
ಲೆಕ್ಕಪತ್ರದ,N__NN
ಮೌಲ್ಯಮಾಪನ,N__NN
ಸಮಿತಿಗಳ,N__NN
ವರದಿಗಳು,N__NN
",",RD__PUNC
ಮಾಧ್ಯಮದ,N__NN
ಸುದ್ದಿ,JJ
ಟಿಪ್ಪಣಿಗಳನ್ನು,N__NN
",",RD__PUNC
ಆಂಗ್ಲ,N__NNP
ಭಾಷೆಯಿಂದ,N__NN
ಅನುವಾದಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಹಿಂದಿಯಿಂದ,N__NNP
ಬರುವ,V__VM__VNG
ಕೇಂದ್ರ,JJ
ಸರ್ಕಾರದ,N__NN
ಸರ್ಕಾರಿ,JJ
ಪತ್ರಗಳನ್ನು,N__NN
ತಮಿಳಿಗೆ,N__NNP
ಅನುವಾದಿಸಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
",",RD__PUNC
ಹಾಗೆಯೇ,CC__CCS
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ಕೇಂದ್ರ,JJ
ಸರ್ಕಾರಕ್ಕೆ,N__NN
ಕಳುಹಿಸಲು,V__VM__VINF
ಆದ,V__VAUX
ಸರ್ಕಾರಿ,JJ
ಪತ್ರಗಳನ್ನು,N__NN
ಆಂಗ್ಲಕ್ಕೆ,N__NNP
ಅನುವಾದಿಸಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ವಾರ್ಷಿಕವಾಗಿ,RB
",",RD__PUNC
ರಾಜ್ಯಪಾಲರ,N__NN
ಭಾಷಣ,N__NN
",",RD__PUNC
ಹಣಕಾಸು,JJ
ಹೇಳಿಕೆಗಳ,N__NNV
ಕುರಿತು,RP__RPD
ಹಣಕಾಸು,JJ
ಸಚಿವರ,N__NN
ಭಾಷಣಕ್ಕೆ,N__NN
ಆಗಿ,RP__RPD
",",RD__PUNC
ಆಯವ್ಯಯ,JJ
ಯೋಜನೆಯನ್ನು,N__NN
ಸಿದ್ಧಪಡಿಸಲು,V__VM__VINF
ಹಣಕಾಸು,JJ
ಇಲಾಖೆ,N__NN
",",RD__PUNC
ಅಂತೆಯೇ,CC__CCS
",",RD__PUNC
ವಿಧಾನಸಭೆಯಲ್ಲಿ,N__NN
ಭಾಷಾಂತರ,JJ
ಕಾರ್ಯಕ್ಕೆ,N__NN
ಈ,DM__DMD
ಇಲಾಖೆಯ,N__NN
ಅಧಿಕಾರಿಗಳನ್ನು,N__NN
ವಿಧಾನಸಭೆಯ,N__NN
ಸಚಿವಾಲಯಕ್ಕೆ,N__NN
ಕಳುಹಿಸಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ಸಾರ್ವಜನಿಕ,JJ
ವಲಯದ,N__NN
(,RD__SYM
ಸಂಪ್ರದಾಯ,N__NN
),RD__SYM
ವಿಭಾಗಕ್ಕೆ,N__NN
ಸೇರಿದ,V__VM__VNG
ಟಿಪ್ಪಣಿಗಳ,N__NN
ಜೊತೆಗೆ,RP__RPD
ಜಿಲ್ಲಾ,JJ
ಆರಕ್ಷಕ,N__NN
ಅಧಿಕಾರಿಗಳ,N__NN
ಸಮ್ಮೇಳನಕ್ಕೆ,N__NN
ಸಂಬಂಧಿಸಿದ,V__VM__VNG
ಟಿಪ್ಪಣಿಗಳನ್ನು,N__NN
ಅನುವಾದಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಬದಲಾಗುತ್ತ,V__VM__VNF
ಇರುವ,V__VAUX
ಕಾಲಕ್ಕೆ,N__NN
ಅನುಗುಣವಾಗಿ,RP__RPD
ಇಲಾಖೆಗಳ,N__NN
ಕಡತಗಳನ್ನು,N__NN
ತಮಿಳಿನಲ್ಲಿ,N__NNP
ಬರೆಯಲು,V__VM__VINF
ಎಲ್ಲಾ,JJ
ಇಲಾಖೆಗಳು,N__NN
ಮುಂದು,RB
ಇರುವುದು,V__VM__VNG
ಸಂತಸ,RB
ತಂದು,V__VM__VNG
ಇದ್ದು,V__VAUX
ಅವರು,PR__PRP
ಅನುವಾದ,JJ
ವಿಭಾಗದ,N__NN
ಮೂಲಕ,RP__RPD
ಕಾಲ,N__NN
ಕಾಲಕ್ಕೆ,N__NN
ಅಗತ್ಯ,JJ
ತಿದ್ದುಪಡಿಗಳನ್ನು,N__NN
ಸಹ,RP__RPD
ಪಡೆದು,V__VM__VF
ಕೊಳ್ಳುತ್ತಿವೆ,V__VAUX
.,RD__PUNC
ಬಹು,JJ
ಕಾಲದಿಂದ,N__NN
ಅಥರ್ಪದ,N__NN
ಯಾತಲ್,N__NN
ಎಂಬ,CC__CCS
ಐತಿಹಾಸಿಕ,JJ
ಸರಣಿಯ,N__NN
ರೂಪದಲ್ಲಿ,N__NN
ಇದನ್ನು,PR__PRP
ಅನುವಾದಿಸಲು,V__VM__VINF
ಆಗಿ,V__VAUX
ಇದ್ದು,V__VAUX
ಈ,DM__DMD
ವಿಭಾಗವು,N__NN
ದ್ವಿ,JJ
ಭಾಷಾ,JJ
ತಜ್ಞ,N__NN
ಭಾಷಾಂತರಕಾರರನ್ನು,N__NN
ಹೊಂದಿ,V__VM__VNF
ಇರುವುದು,V__VAUX
ಗಮನಾರ್ಹ,RB
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಎಂ.,N__NNP
ಕರುಣಾನಿಧಿ,N__NNP
",",RD__PUNC
ಮುಖ್ಯ,JJ
ಮಂತ್ರಿ,N__NN
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ವಿದ್ಯುತ್,N__NNP
ಮಂಡಳಿ,N__NNP
.,RD__PUNC
ತಮಿಳುನಾಡು,N__NNP
ವಿದ್ಯುಚ್ಛಕ್ತಿ,N__NNP
ಮಂಡಳಿಯು,N__NNP
1948ರ,N__NN
ವಿದ್ಯುತ್,N__NN
(,RD__SYM
ಪೂರೈಕೆ,N__NNV
),RD__SYM
ಕಾಯಿದೆಯ,N__NN
(,RD__SYM
1948ರ,N__NN
ಕೇಂದ್ರ,JJ
ಕಾಯಿದೆ,N__NN
54,QT__QTC
),RD__SYM
ಅಡಿಯಲ್ಲಿ,RP__RPD
ಸ್ಥಾಪನೆ,N__NN
ಆದ,V__VM__VNG
ನಂತರ,N__NST
",",RD__PUNC
2003ರ,N__NN
ವಿದ್ಯುತ್,JJ
ಕಾಯಿದೆ,N__NN
",",RD__PUNC
(,RD__SYM
2003ರ,N__NN
ಕೇಂದ್ರ,JJ
